Latitude (decimal degrees):	37.131
Longitude (decimal degrees):	-8.038
Elevation (m):	95
Radiation database:	PVGIS-SARAH3


Slope: - deg. 
Azimuth: - deg. 
time,G(i),H_sun,T2m,WS10m,Int
20190101:0009,0.0,0.0,10.8,3.31,0.0
20190101:0109,0.0,0.0,10.93,3.72,0.0
20190101:0209,0.0,0.0,11.01,4.0,0.0
20190101:0309,0.0,0.0,10.96,4.14,0.0
20190101:0409,0.0,0.0,10.77,3.93,0.0
20190101:0509,0.0,0.0,10.58,3.72,0.0
20190101:0609,0.0,0.0,10.44,3.66,0.0
20190101:0709,0.0,0.0,10.03,3.45,0.0
20190101:0809,450.84,3.32,9.95,3.38,0.0
20190101:0909,827.96,12.82,10.73,2.9,0.0
20190101:1009,966.46,20.78,13.35,2.69,0.0
20190101:1109,1038.01,26.57,15.03,3.1,0.0
20190101:1209,1053.62,29.56,15.96,3.52,0.0
20190101:1309,1042.16,29.32,16.46,3.45,0.0
20190101:1409,1019.83,25.88,16.71,3.03,0.0
20190101:1509,936.96,19.73,16.71,2.41,0.0
20190101:1609,760.2,11.51,16.49,1.86,0.0
20190101:1709,4.89,1.82,15.79,1.17,0.0
20190101:1809,0.0,0.0,15.1,0.21,0.0
20190101:1909,0.0,0.0,13.51,0.97,0.0
20190101:2009,0.0,0.0,10.86,1.59,0.0
20190101:2109,0.0,0.0,9.09,2.14,0.0
20190101:2209,0.0,0.0,8.65,2.48,0.0
20190101:2309,0.0,0.0,8.61,2.69,0.0
20190102:0009,0.0,0.0,8.63,2.76,0.0
20190102:0109,0.0,0.0,8.85,2.97,0.0
20190102:0209,0.0,0.0,8.99,3.1,0.0
20190102:0309,0.0,0.0,8.97,3.17,0.0
20190102:0409,0.0,0.0,8.9,3.17,0.0
20190102:0509,0.0,0.0,8.78,3.1,0.0
20190102:0609,0.0,0.0,8.67,3.03,0.0
20190102:0709,0.0,0.0,8.4,2.76,0.0
20190102:0809,306.12,3.3,8.1,2.55,0.0
20190102:0909,809.4,12.82,9.16,2.07,0.0
20190102:1009,978.2,20.8,12.84,1.59,0.0
20190102:1109,1039.9,26.62,15.21,1.31,0.0
20190102:1209,1078.92,29.63,16.48,1.38,0.0
20190102:1309,1060.65,29.42,17.23,1.93,0.0
20190102:1409,1013.66,26.0,17.59,2.69,0.0
20190102:1509,938.49,19.86,17.56,3.17,0.0
20190102:1609,783.28,11.64,17.04,3.1,0.0
20190102:1709,4.9,1.96,15.77,3.03,0.0
20190102:1809,0.0,0.0,13.96,3.1,0.0
20190102:1909,0.0,0.0,12.63,3.38,0.0
20190102:2009,0.0,0.0,11.57,3.38,0.0
20190102:2109,0.0,0.0,10.69,3.31,0.0
20190102:2209,0.0,0.0,10.03,3.24,0.0
20190102:2309,0.0,0.0,9.47,3.17,0.0
20190103:0009,0.0,0.0,8.73,3.03,0.0
20190103:0109,0.0,0.0,8.32,2.9,0.0
20190103:0209,0.0,0.0,8.12,2.76,0.0
20190103:0309,0.0,0.0,7.88,2.76,0.0
20190103:0409,0.0,0.0,7.78,2.83,0.0
20190103:0509,0.0,0.0,7.56,2.9,0.0
20190103:0609,0.0,0.0,7.72,2.83,0.0
20190103:0709,0.0,0.0,7.81,2.69,0.0
20190103:0809,132.28,3.29,7.58,2.62,0.0
20190103:0909,722.16,12.83,7.97,2.62,0.0
20190103:1009,974.66,20.83,8.9,2.76,0.0
20190103:1109,1036.55,26.67,10.02,2.69,0.0
20190103:1209,964.76,29.72,11.09,2.62,0.0
20190103:1309,743.97,29.52,12.07,2.55,0.0
20190103:1409,275.63,26.12,12.58,2.28,0.0
20190103:1509,355.45,19.99,12.8,1.93,0.0
20190103:1609,543.92,11.78,12.82,1.79,0.0
20190103:1709,4.9,2.1,12.6,1.79,0.0
20190103:1809,0.0,0.0,12.07,1.93,0.0
20190103:1909,0.0,0.0,11.96,1.79,0.0
20190103:2009,0.0,0.0,11.57,1.79,0.0
20190103:2109,0.0,0.0,11.16,1.93,0.0
20190103:2209,0.0,0.0,11.23,2.34,0.0
20190103:2309,0.0,0.0,11.35,3.03,0.0
20190104:0009,0.0,0.0,11.6,3.93,0.0
20190104:0109,0.0,0.0,12.11,4.76,0.0
20190104:0209,0.0,0.0,12.29,5.1,0.0
20190104:0309,0.0,0.0,12.2,5.1,0.0
20190104:0409,0.0,0.0,11.97,4.83,0.0
20190104:0509,0.0,0.0,11.46,4.62,0.0
20190104:0609,0.0,0.0,11.15,4.55,0.0
20190104:0709,0.0,0.0,11.13,4.14,0.0
20190104:0809,307.56,3.28,10.9,4.21,0.0
20190104:0909,800.19,12.84,11.42,4.34,0.0
20190104:1009,960.24,20.86,12.75,4.83,0.0
20190104:1109,1022.55,26.73,13.79,5.31,0.0
20190104:1209,1048.88,29.8,14.54,5.38,0.0
20190104:1309,1037.84,29.64,14.99,5.24,0.0
20190104:1409,1016.1,26.25,15.29,5.1,0.0
20190104:1509,883.54,20.13,15.34,4.76,0.0
20190104:1609,703.05,11.92,15.17,4.41,0.0
20190104:1709,6.14,2.24,14.64,3.79,0.0
20190104:1809,0.0,0.0,13.78,3.66,0.0
20190104:1909,0.0,0.0,13.14,2.83,0.0
20190104:2009,0.0,0.0,12.34,2.97,0.0
20190104:2109,0.0,0.0,11.7,3.03,0.0
20190104:2209,0.0,0.0,11.13,2.83,0.0
20190104:2309,0.0,0.0,10.58,2.83,0.0
20190105:0009,0.0,0.0,10.16,2.97,0.0
20190105:0109,0.0,0.0,9.78,3.17,0.0
20190105:0209,0.0,0.0,9.67,3.31,0.0
20190105:0309,0.0,0.0,9.61,3.52,0.0
20190105:0409,0.0,0.0,9.53,3.72,0.0
20190105:0509,0.0,0.0,9.38,3.93,0.0
20190105:0609,0.0,0.0,9.31,4.0,0.0
20190105:0709,0.0,0.0,8.75,3.93,0.0
20190105:0809,287.75,3.28,8.65,3.93,0.0
20190105:0909,812.12,12.86,9.63,3.86,0.0
20190105:1009,961.29,20.9,11.71,4.21,0.0
20190105:1109,1033.5,26.8,13.01,4.48,0.0
20190105:1209,1066.06,29.9,13.97,4.28,0.0
20190105:1309,1054.43,29.76,14.67,3.59,0.0
20190105:1409,1016.91,26.39,15.16,2.97,0.0
20190105:1509,953.25,20.27,15.36,2.62,0.0
20190105:1609,787.24,12.07,15.24,2.34,0.0
20190105:1709,85.86,2.38,14.67,2.14,0.0
20190105:1809,0.0,0.0,13.57,2.48,0.0
20190105:1909,0.0,0.0,12.41,2.83,0.0
20190105:2009,0.0,0.0,11.31,2.97,0.0
20190105:2109,0.0,0.0,10.45,2.83,0.0
20190105:2209,0.0,0.0,9.78,2.83,0.0
20190105:2309,0.0,0.0,9.27,2.97,0.0
20190106:0009,0.0,0.0,8.94,3.1,0.0
20190106:0109,0.0,0.0,8.69,3.1,0.0
20190106:0209,0.0,0.0,8.43,3.03,0.0
20190106:0309,0.0,0.0,8.16,2.83,0.0
20190106:0409,0.0,0.0,7.87,2.69,0.0
20190106:0509,0.0,0.0,7.57,2.55,0.0
20190106:0609,0.0,0.0,7.27,2.48,0.0
20190106:0709,0.0,0.0,6.86,2.62,0.0
